budgetRange,name,label,quarter,date,price(per.sqft)
MID,Lodha Regency,PROJECT,"jan-mar,2022",3/31/2022,5950.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2019",6/30/2019,6950.0
Premium,Dombivli East,LOCALITY,"jan-mar,2010",3/31/2010,3150.0
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2018",12/31/2018,6600.0
MID,Lodha Regency,PROJECT,"july-sept,2022",9/30/2022,5850.0
LUXURY,Runwal My City,PROJECT,"july-sept,2017",9/30/2017,6000.0
LUXURY,Runwal My City,PROJECT,"apr-june,2022",6/30/2022,8050.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2017",12/31/2017,6850.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2020",3/31/2020,6650.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2021",3/31/2021,6700.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2015",12/31/2015,7100.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2019",3/31/2019,6450.0
Premium,Dombivli East,LOCALITY,"oct-dec,2017",12/31/2017,6200.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2021",9/30/2021,6700.0
Premium,Dombivli East,LOCALITY,"jan-mar,2019",3/31/2019,6500.0
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2017",6/30/2017,6450.0
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2017",3/31/2017,6550.0
Premium,Gograswadi,LOCALITY,"oct-dec,2017",12/31/2017,6300.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2018",3/31/2018,6350.0
LUXURY,Regency Anantam,PROJECT,"apr-june,2019",6/30/2019,7100.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2020",9/30/2020,7000.0
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2018",3/31/2018,7100.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2014",12/31/2014,7000.0
MID,Lodha Palava Downtown,PROJECT,"apr-june,2015",6/30/2015,5700.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2020",3/31/2020,5700.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2016",3/31/2016,6400.0
Premium,Gograswadi,LOCALITY,"jan-mar,2021",3/31/2021,7100.0
LUXURY,Runwal My City,PROJECT,"july-sept,2019",9/30/2019,7400.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2016",3/31/2016,7100.0
Premium,Dombivli East,LOCALITY,"july-sept,2013",9/30/2013,5550.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2022",3/31/2022,7600.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2016",6/30/2016,6400.0
Premium,Dombivli East,LOCALITY,"apr-june,2010",6/30/2010,3400.0
Premium,Gograswadi,LOCALITY,"july-sept,2017",9/30/2017,6750.0
MID,Lodha Regency,PROJECT,"jan-mar,2019",3/31/2019,5750.0
MID,Lodha Regency,PROJECT,"apr-june,2019",6/30/2019,5900.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2018",9/30/2018,6550.0
LUXURY,Runwal My City,PROJECT,"july-sept,2021",9/30/2021,7400.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2021",6/30/2021,6850.0
Premium,Dombivli East,LOCALITY,"apr-june,2018",6/30/2018,6500.0
Premium,Gograswadi,LOCALITY,"apr-june,2022",6/30/2022,7250.0
Premium,Gograswadi,LOCALITY,"july-sept,2022",9/30/2022,7100.0
Premium,Dombivli East,LOCALITY,"apr-june,2022",6/30/2022,6900.0
Premium,Dombivli East,LOCALITY,"jan-mar,2021",3/31/2021,6800.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2016",6/30/2016,7500.0
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2017",9/30/2017,7100.0
Premium,Dombivli East,LOCALITY,"jan-mar,2008",3/31/2008,2600.0
Premium,Dombivli East,LOCALITY,"oct-dec,2008",12/31/2008,2800.0
Premium,Dombivli East,LOCALITY,"apr-june,2013",6/30/2013,5600.0
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2014",9/30/2014,4800.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2019",9/30/2019,6850.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2022",6/30/2022,7500.0
MID,Lodha Regency,PROJECT,"jan-mar,2016",3/31/2016,5250.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2016",3/31/2016,5300.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2017",3/31/2017,7050.0
LUXURY,Regency Anantam,PROJECT,"july-sept,2022",9/30/2022,8100.0
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2015",6/30/2015,5650.0
LUXURY,Runwal My City,PROJECT,"july-sept,2014",9/30/2014,4450.0
MID,Lodha Palava Downtown,PROJECT,"apr-june,2022",6/30/2022,5900.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2017",3/31/2017,6250.0
Premium,Dombivli East,LOCALITY,"oct-dec,2016",12/31/2016,6300.0
Premium,Dombivli East,LOCALITY,"jan-mar,2012",3/31/2012,4400.0
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2020",12/31/2020,6900.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2022",3/31/2022,6650.0
Premium,Dombivli East,LOCALITY,"july-sept,2011",9/30/2011,4150.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2015",12/31/2015,7400.0
Premium,Dombivli East,LOCALITY,"apr-june,2011",6/30/2011,4250.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2015",3/31/2015,4600.0
Premium,Dombivli East,LOCALITY,"oct-dec,2011",12/31/2011,4300.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2016",6/30/2016,6950.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2022",12/31/2022,6650.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2016",12/31/2016,5200.0
Premium,Dombivli East,LOCALITY,"july-sept,2012",9/30/2012,5250.0
Premium,Dombivli East,LOCALITY,"oct-dec,2019",12/31/2019,6450.0
MID,Lodha Regency,PROJECT,"apr-june,2020",6/30/2020,6200.0
MID,Lodha Regency,PROJECT,"oct-dec,2017",12/31/2017,6050.0
LUXURY,Runwal My City,PROJECT,"apr-june,2018",6/30/2018,6150.0
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2016",9/30/2016,6650.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2021",9/30/2021,6050.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2019",6/30/2019,6500.0
Premium,Dombivli East,LOCALITY,"july-sept,2018",9/30/2018,6550.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2015",3/31/2015,5650.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2018",9/30/2018,6300.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2019",9/30/2019,6350.0
Premium,Gograswadi,LOCALITY,"apr-june,2017",6/30/2017,6450.0
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2021",9/30/2021,5400.0
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2021",6/30/2021,5700.0
LUXURY,Runwal My City,PROJECT,"july-sept,2016",9/30/2016,5300.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2019",9/30/2019,6250.0
LUXURY,Regency Anantam,PROJECT,"oct-dec,2020",12/31/2020,6850.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2021",3/31/2021,6850.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2020",3/31/2020,6300.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2020",6/30/2020,6250.0
MID,Lodha Regency,PROJECT,"july-sept,2018",9/30/2018,5800.0
MID,Lodha Regency,PROJECT,"apr-june,2016",6/30/2016,5250.0
,,,,,
LUXURY,Regency Anantam,PROJECT,"jan-mar,2021",3/31/2021,7500.0
Premium,Gograswadi,LOCALITY,"apr-june,2019",6/30/2019,7000.0
Premium,Gograswadi,LOCALITY,"jan-mar,2019",3/31/2019,6450.0
MID,Lodha Regency,PROJECT,"jan-mar,2020",3/31/2020,6600.0
Premium,Dombivli East,LOCALITY,"jan-mar,2015",3/31/2015,5750.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2020",9/30/2020,6800.0
Premium,Dombivli East,LOCALITY,"apr-june,2012",6/30/2012,4600.0
MID,Lodha Palava Downtown,PROJECT,"apr-june,2016",6/30/2016,5550.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2015",9/30/2015,7600.0
Premium,Dombivli East,LOCALITY,"july-sept,2010",9/30/2010,3000.0
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2015",12/31/2015,5550.0
LUXURY,Runwal My City,PROJECT,"july-sept,2020",9/30/2020,7400.0
LUXURY,Regency Anantam,PROJECT,"apr-june,2020",6/30/2020,6050.0
Premium,Dombivli East,LOCALITY,"jan-mar,2016",3/31/2016,6250.0
Premium,Dombivli East,LOCALITY,"jan-mar,2022",3/31/2022,6600.0
LUXURY,Regency Anantam,PROJECT,"jan-mar,2022",3/31/2022,7850.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2017",3/31/2017,4950.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2018",12/31/2018,7100.0
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2013",12/31/2013,4550.0
MID,Lodha Regency,PROJECT,"jan-mar,2017",3/31/2017,6200.0
Premium,Gograswadi,LOCALITY,"july-sept,2021",9/30/2021,7100.0
Premium,Dombivli East,LOCALITY,"oct-dec,2007",12/31/2007,2500.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2018",12/31/2018,7250.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2014",6/30/2014,5000.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2017",6/30/2017,6550.0
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2015",12/31/2015,5000.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2020",3/31/2020,6250.0
LUXURY,Regency Anantam,PROJECT,"oct-dec,2018",12/31/2018,7050.0
Premium,Dombivli East,LOCALITY,"apr-june,2020",6/30/2020,6550.0
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2022",12/31/2022,6050.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2018",12/31/2018,6300.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2013",6/30/2013,5800.0
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2018",9/30/2018,6700.0
MID,Lodha Regency,PROJECT,"july-sept,2016",9/30/2016,5450.0
Premium,Dombivli East,LOCALITY,"jan-mar,2009",3/31/2009,2700.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2017",9/30/2017,6550.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2018",9/30/2018,6900.0
Premium,Dombivli East,LOCALITY,"jan-mar,2013",3/31/2013,5700.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2022",9/30/2022,5800.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2014",9/30/2014,5400.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2015",12/31/2015,5300.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2022",12/31/2022,6700.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2020",9/30/2020,7550.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2022",3/31/2022,6800.0
Premium,Gograswadi,LOCALITY,"july-sept,2019",9/30/2019,6500.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2015",6/30/2015,7750.0
Premium,Dombivli East,LOCALITY,"oct-dec,2015",12/31/2015,6100.0
Premium,Dombivli East,LOCALITY,"july-sept,2007",9/30/2007,1750.0
Premium,Dombivli East,LOCALITY,"apr-june,2019",6/30/2019,6500.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2014",9/30/2014,6900.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2022",9/30/2022,6650.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2018",3/31/2018,6350.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2017",12/31/2017,6300.0
Premium,Dombivli East,LOCALITY,"july-sept,2014",9/30/2014,5400.0
Premium,Dombivli East,LOCALITY,"jan-mar,2007",3/31/2007,2800.0
LUXURY,Runwal My City,PROJECT,"apr-june,2015",6/30/2015,5150.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2016",12/31/2016,6650.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2017",3/31/2017,6650.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2019",12/31/2019,6300.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2019",3/31/2019,6900.0
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2021",3/31/2021,5850.0
Premium,Dombivli East,LOCALITY,"jan-mar,2018",3/31/2018,6350.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2015",9/30/2015,6700.0
LUXURY,Regency Anantam,PROJECT,"july-sept,2019",9/30/2019,7100.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2021",6/30/2021,6800.0
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2015",9/30/2015,5650.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2015",9/30/2015,5850.0
Premium,Dombivli East,LOCALITY,"july-sept,2008",9/30/2008,2800.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2020",6/30/2020,7150.0
Premium,Gograswadi,LOCALITY,"apr-june,2018",6/30/2018,6350.0
MID,Lodha Regency,PROJECT,"oct-dec,2022",12/31/2022,5850.0
LUXURY,Runwal My City,PROJECT,"july-sept,2022",9/30/2022,7450.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2017",9/30/2017,6850.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2017",6/30/2017,6800.0
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2014",3/31/2014,5000.0
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2021",12/31/2021,6450.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2019",12/31/2019,7150.0
LUXURY,Regency Anantam,PROJECT,"july-sept,2021",9/30/2021,7300.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2020",6/30/2020,7500.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2021",9/30/2021,7200.0
Premium,Dombivli East,LOCALITY,"july-sept,2009",9/30/2009,2800.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2014",3/31/2014,4850.0
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2019",3/31/2019,6300.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2021",3/31/2021,6800.0
Premium,Dombivli East,LOCALITY,"oct-dec,2021",12/31/2021,6550.0
Premium,Dombivli East,LOCALITY,"apr-june,2007",6/30/2007,2000.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2016",12/31/2016,7050.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2017",9/30/2017,6450.0
Premium,Dombivli East,LOCALITY,"oct-dec,2020",12/31/2020,6500.0
Premium,Gograswadi,LOCALITY,"oct-dec,2022",12/31/2022,6700.0
LUXURY,Regency Anantam,PROJECT,"apr-june,2021",6/30/2021,6550.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2018",3/31/2018,7050.0
LUXURY,Runwal My City,PROJECT,"apr-june,2016",6/30/2016,5200.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2016",3/31/2016,5800.0
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2016",3/31/2016,5000.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2015",6/30/2015,7950.0
MID,Lodha Regency,PROJECT,"apr-june,2017",6/30/2017,5900.0
LUXURY,Regency Anantam,PROJECT,"oct-dec,2022",12/31/2022,8200.0
MID,Lodha Palava Downtown,PROJECT,"apr-june,2021",6/30/2021,5800.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2021",12/31/2021,6250.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2014",9/30/2014,6300.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2014",3/31/2014,6350.0
Premium,Dombivli East,LOCALITY,"july-sept,2022",9/30/2022,6500.0
Premium,Dombivli East,LOCALITY,"jan-mar,2020",3/31/2020,6450.0
MID,Lodha Regency,PROJECT,"oct-dec,2018",12/31/2018,5650.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2015",3/31/2015,7700.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2021",12/31/2021,7250.0
Premium,Dombivli East,LOCALITY,"oct-dec,2013",12/31/2013,5100.0
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2014",6/30/2014,4900.0
Premium,Dombivli East,LOCALITY,"apr-june,2014",6/30/2014,5000.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2017",9/30/2017,6350.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2017",12/31/2017,6450.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2018",9/30/2018,6950.0
LUXURY,Runwal My City,PROJECT,"apr-june,2019",6/30/2019,7300.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2013",12/31/2013,6000.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2021",9/30/2021,6700.0
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2022",9/30/2022,5850.0
MID,Lodha Palava Downtown,PROJECT,"apr-june,2019",6/30/2019,6500.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2014",12/31/2014,5650.0
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2018",6/30/2018,7000.0
Premium,Dombivli East,LOCALITY,"oct-dec,2012",12/31/2012,5700.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2016",3/31/2016,7800.0
Premium,Dombivli East,LOCALITY,"oct-dec,2014",12/31/2014,5600.0
LUXURY,Regency Anantam,PROJECT,"jan-mar,2019",3/31/2019,7050.0
Premium,Dombivli East,LOCALITY,"july-sept,2019",9/30/2019,6450.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2022",3/31/2022,5550.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2022",12/31/2022,7700.0
Premium,Gograswadi,LOCALITY,"jan-mar,2018",3/31/2018,6500.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2018",6/30/2018,6450.0
LUXURY,Regency Anantam,PROJECT,"oct-dec,2019",12/31/2019,6950.0
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2022",12/31/2022,5500.0
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2022",3/31/2022,5900.0
Premium,Dombivli East,LOCALITY,"apr-june,2016",6/30/2016,6300.0
MID,Lodha Regency,PROJECT,"july-sept,2017",9/30/2017,6150.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2020",12/31/2020,6900.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2017",6/30/2017,6300.0
LUXURY,Regency Anantam,PROJECT,"apr-june,2022",6/30/2022,8100.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2018",6/30/2018,6350.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2022",9/30/2022,6350.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2013",3/31/2013,6050.0
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2021",12/31/2021,5650.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2014",6/30/2014,6500.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2020",3/31/2020,7000.0
LUXURY,Regency Anantam,PROJECT,"july-sept,2020",9/30/2020,6450.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2021",12/31/2021,6950.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2018",6/30/2018,7050.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2015",3/31/2015,5800.0
Premium,Dombivli East,LOCALITY,"jan-mar,2017",3/31/2017,6200.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2015",3/31/2015,7100.0
Premium,Gograswadi,LOCALITY,"jan-mar,2020",3/31/2020,7000.0
Premium,Dombivli East,LOCALITY,"apr-june,2015",6/30/2015,6100.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2016",12/31/2016,6400.0
LUXURY,Runwal My City,PROJECT,"apr-june,2020",6/30/2020,6900.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2016",9/30/2016,7200.0
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2017",12/31/2017,6950.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2021",12/31/2021,6700.0
MID,Lodha Lakeshore Greens,PROJECT,"jan-mar,2020",3/31/2020,5550.0
MID,Lodha Regency,PROJECT,"apr-june,2018",6/30/2018,5800.0
MID,Lodha Regency,PROJECT,"oct-dec,2021",12/31/2021,5800.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2019",3/31/2019,6150.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2018",12/31/2018,6650.0
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2020",6/30/2020,5100.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2019",12/31/2019,6250.0
Premium,Dombivli East,LOCALITY,"july-sept,2020",9/30/2020,6600.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2019",6/30/2019,6250.0
Premium,Dombivli East,LOCALITY,"oct-dec,2009",12/31/2009,2650.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2018",3/31/2018,5500.0
Premium,Dombivli East,LOCALITY,"oct-dec,2010",12/31/2010,3700.0
Premium,Gograswadi,LOCALITY,"jan-mar,2022",3/31/2022,7200.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2021",3/31/2021,6050.0
Premium,Dombivli East,LOCALITY,"july-sept,2015",9/30/2015,6400.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2017",12/31/2017,5650.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2014",12/31/2014,4600.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2019",3/31/2019,7000.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2014",12/31/2014,6950.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2019",12/31/2019,6850.0
Premium,Dombivli East,LOCALITY,"oct-dec,2018",12/31/2018,6650.0
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2020",9/30/2020,5500.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2015",12/31/2015,5850.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2016",9/30/2016,6550.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2013",9/30/2013,6000.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2020",12/31/2020,7250.0
MID,Lodha Regency,PROJECT,"jan-mar,2018",3/31/2018,5850.0
Premium,Dombivli East,LOCALITY,"oct-dec,2022",12/31/2022,7200.0
Premium,Gograswadi,LOCALITY,"oct-dec,2021",12/31/2021,7700.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2020",12/31/2020,6650.0
Premium,Dombivli East,LOCALITY,"apr-june,2021",6/30/2021,6600.0
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2019",12/31/2019,6300.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2017",3/31/2017,6100.0
MID,Lodha Regency,PROJECT,"apr-june,2021",6/30/2021,6600.0
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2020",12/31/2020,5650.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2022",9/30/2022,6450.0
Premium,Dombivli East,LOCALITY,"apr-june,2017",6/30/2017,6100.0
